subject_id,lh_bankssts_area,lh_caudalanteriorcingulate_area,lh_caudalmiddlefrontal_area,lh_cuneus_area,lh_entorhinal_area,lh_fusiform_area,lh_inferiorparietal_area,lh_inferiortemporal_area,lh_isthmuscingulate_area,lh_lateraloccipital_area,lh_lateralorbitofrontal_area,lh_lingual_area,lh_medialorbitofrontal_area,lh_middletemporal_area,lh_parahippocampal_area,lh_paracentral_area,lh_parsopercularis_area,lh_parsorbitalis_area,lh_parstriangularis_area,lh_pericalcarine_area,lh_postcentral_area,lh_posteriorcingulate_area,lh_precentral_area,lh_precuneus_area,lh_rostralanteriorcingulate_area,lh_rostralmiddlefrontal_area,lh_superiorfrontal_area,lh_superiorparietal_area,lh_superiortemporal_area,lh_supramarginal_area,lh_frontalpole_area,lh_temporalpole_area,lh_transversetemporal_area,lh_insula_area,lh_WhiteSurfArea_area,rh_bankssts_area,rh_caudalanteriorcingulate_area,rh_caudalmiddlefrontal_area,rh_cuneus_area,rh_entorhinal_area,rh_fusiform_area,rh_inferiorparietal_area,rh_inferiortemporal_area,rh_isthmuscingulate_area,rh_lateraloccipital_area,rh_lateralorbitofrontal_area,rh_lingual_area,rh_medialorbitofrontal_area,rh_middletemporal_area,rh_parahippocampal_area,rh_paracentral_area,rh_parsopercularis_area,rh_parsorbitalis_area,rh_parstriangularis_area,rh_pericalcarine_area,rh_postcentral_area,rh_posteriorcingulate_area,rh_precentral_area,rh_precuneus_area,rh_rostralanteriorcingulate_area,rh_rostralmiddlefrontal_area,rh_superiorfrontal_area,rh_superiorparietal_area,rh_superiortemporal_area,rh_supramarginal_area,rh_frontalpole_area,rh_temporalpole_area,rh_transversetemporal_area,rh_insula_area,rh_WhiteSurfArea_area,lh_bankssts_thickness,lh_caudalanteriorcingulate_thickness,lh_caudalmiddlefrontal_thickness,lh_cuneus_thickness,lh_entorhinal_thickness,lh_fusiform_thickness,lh_inferiorparietal_thickness,lh_inferiortemporal_thickness,lh_isthmuscingulate_thickness,lh_lateraloccipital_thickness,lh_lateralorbitofrontal_thickness,lh_lingual_thickness,lh_medialorbitofrontal_thickness,lh_middletemporal_thickness,lh_parahippocampal_thickness,lh_paracentral_thickness,lh_parsopercularis_thickness,lh_parsorbitalis_thickness,lh_parstriangularis_thickness,lh_pericalcarine_thickness,lh_postcentral_thickness,lh_posteriorcingulate_thickness,lh_precentral_thickness,lh_precuneus_thickness,lh_rostralanteriorcingulate_thickness,lh_rostralmiddlefrontal_thickness,lh_superiorfrontal_thickness,lh_superiorparietal_thickness,lh_superiortemporal_thickness,lh_supramarginal_thickness,lh_frontalpole_thickness,lh_temporalpole_thickness,lh_transversetemporal_thickness,lh_insula_thickness,lh_MeanThickness_thickness,rh_bankssts_thickness,rh_caudalanteriorcingulate_thickness,rh_caudalmiddlefrontal_thickness,rh_cuneus_thickness,rh_entorhinal_thickness,rh_fusiform_thickness,rh_inferiorparietal_thickness,rh_inferiortemporal_thickness,rh_isthmuscingulate_thickness,rh_lateraloccipital_thickness,rh_lateralorbitofrontal_thickness,rh_lingual_thickness,rh_medialorbitofrontal_thickness,rh_middletemporal_thickness,rh_parahippocampal_thickness,rh_paracentral_thickness,rh_parsopercularis_thickness,rh_parsorbitalis_thickness,rh_parstriangularis_thickness,rh_pericalcarine_thickness,rh_postcentral_thickness,rh_posteriorcingulate_thickness,rh_precentral_thickness,rh_precuneus_thickness,rh_rostralanteriorcingulate_thickness,rh_rostralmiddlefrontal_thickness,rh_superiorfrontal_thickness,rh_superiorparietal_thickness,rh_superiortemporal_thickness,rh_supramarginal_thickness,rh_frontalpole_thickness,rh_temporalpole_thickness,rh_transversetemporal_thickness,rh_insula_thickness,rh_MeanThickness_thickness,Left.Lateral.Ventricle,Left.Inf.Lat.Vent,Left.Cerebellum.White.Matter,Left.Cerebellum.Cortex,Left.Thalamus.Proper,Left.Caudate,Left.Putamen,Left.Pallidum,X3rd.Ventricle,X4th.Ventricle,Brain.Stem,Left.Hippocampus,Left.Amygdala,CSF,Left.Accumbens.area,Left.VentralDC,Left.vessel,Left.choroid.plexus,Right.Lateral.Ventricle,Right.Inf.Lat.Vent,Right.Cerebellum.White.Matter,Right.Cerebellum.Cortex,Right.Thalamus.Proper,Right.Caudate,Right.Putamen,Right.Pallidum,Right.Hippocampus,Right.Amygdala,Right.Accumbens.area,Right.VentralDC,Right.vessel,Right.choroid.plexus,X5th.Ventricle,WM.hypointensities,Left.WM.hypointensities,Right.WM.hypointensities,non.WM.hypointensities,Left.non.WM.hypointensities,Right.non.WM.hypointensities,Optic.Chiasm,CC_Posterior,CC_Mid_Posterior,CC_Central,CC_Mid_Anterior,CC_Anterior,BrainSegVol,BrainSegVolNotVent,BrainSegVolNotVentSurf,lhCortexVol,rhCortexVol,CortexVol,lhCerebralWhiteMatterVol,rhCerebralWhiteMatterVol,CerebralWhiteMatterVol,SubCortGrayVol,TotalGrayVol,SupraTentorialVol,SupraTentorialVolNotVent,SupraTentorialVolNotVentVox,MaskVol,BrainSegVol.to.eTIV,MaskVol.to.eTIV,lhSurfaceHoles,rhSurfaceHoles,SurfaceHoles,EstimatedTotalIntraCranialVol,eTIV
adhd202932,1328,758,2252,1267,342,3292,4642,3795,1111,5075,3008,2632,2145,4176,823,1563,1739,766,1524,1252,4554,1453,5418,3943,999,7580,9067,5916,4892,4946,307,431,548,2999,96528.8,1267,779,2239,1390,342,3208,6297,3387,1037,4791,3370,2856,2117,3972,683,1643,1645,918,1848,1253,4162,1286,5932,4173,678,8243,8650,6023,4480,4131,351,411,365,2488,96338.7,2.714,2.803,2.662,2.256,3.668,2.775,2.556,2.837,2.357,2.375,2.827,2.488,2.727,3.018,2.698,2.626,2.859,2.86,2.717,2.177,2.382,2.532,2.696,2.628,2.989,2.655,2.88,2.451,3.101,2.689,3.093,4.038,2.62,2.911,2.6936,2.657,2.489,2.564,2.244,3.67,2.811,2.648,2.946,2.228,2.515,2.7,2.306,2.634,3.149,2.907,2.628,2.836,2.812,2.744,2.027,2.412,2.453,2.678,2.676,3.139,2.485,2.834,2.397,3.142,2.734,2.898,4.098,2.634,2.809,2.67393,14257,357.8,16982,65795.3,9122,3718.3,5633.8,2417.2,869,2186.8,23945.3,4189.4,1785.5,798.9,571.1,4749.1,48,448.5,8527.6,402.9,15706.6,65087.4,9403,3958.6,5720.4,2294.7,4505,1712.3,640.4,4602.1,22,516.4,0,986.2,0,0,0,0,0,216.2,1177.6,679,533.7,584.8,1109.5,1361022,1332979,1332737.17412,295359.59474,292485.482445,587845.077184,258396.897503,256523.19943,514920.096933,66493,786205.077184,1195626.17412,1171412.17412,1169368,1860919,0.746404,1.020555,62,39,101,1823438.00628,1823438.00628
adhd879953,1085,1102,3340,1447,748,3427,3972,3297,1101,4572,3365,3174,2176,3184,898,1831,1692,888,1450,1299,4480,1399,5653,5147,1339,8171,9105,6202,5320,5000,251,621,491,3088,100311,993,812,2970,1373,586,3506,5655,3921,888,5322,3347,2518,2407,3907,694,1805,1633,1074,1753,1386,5007,1301,5845,4707,700,8142,8877,6631,4118,4300,329,556,320,3264,100629,2.542,2.711,2.727,1.814,3.067,2.603,2.628,2.736,2.145,2.274,2.708,2.041,2.518,2.778,2.719,2.403,2.75,2.75,2.587,1.726,2.197,2.479,2.639,2.403,2.883,2.564,2.77,2.352,2.735,2.672,2.883,3.198,2.024,2.843,2.55027,2.692,2.507,2.706,1.958,3.003,2.604,2.633,2.754,2.381,2.304,2.611,2.056,2.547,2.938,2.679,2.452,2.562,2.628,2.607,1.885,2.169,2.47,2.638,2.42,2.859,2.464,2.739,2.323,2.853,2.81,2.512,3.597,2.328,2.933,2.55898,4199.6,410,15684.3,61778.4,8323.7,4289.1,5856.6,2037.4,624.8,1028.8,23907.7,4399.7,1624.6,753.4,648.5,4673.8,27.1,341.2,4763.6,220.6,15357.1,64121,8107.1,4276,5717.1,2106.2,4430,1748.6,612.7,4358.2,20.6,335.3,0,1122.8,0,0,0,0,0,178.1,877.3,579.7,868.8,629,861.1,1286831,1274536,1274518.03024,284531.632084,284956.361226,569487.99331,241609.970625,242704.066303,484314.036928,64099,759740.99331,1130543.03024,1120595.03024,1117765,1728882,0.744251,0.999916,46,38,84,1729027.79681,1729027.79681
adhd864911,1174,571,2418,1723,560,3596,4620,3489,1333,5901,2781,4149,2442,3781,734,1481,1665,884,1506,1807,4280,1367,5276,4491,874,7048,9447,6137,4790,5019,338,461,582,2782,99499.6,1093,702,2708,1964,450,3499,6737,3796,1193,6257,2836,4330,2256,4006,775,1655,1547,946,1625,2271,4234,1470,5253,4241,771,7100,8622,5873,3845,3498,330,462,348,2934,99537.9,2.63,2.419,2.635,2.08,3.26,2.724,2.663,2.694,2.211,2.3,2.991,2.231,2.543,3.053,2.903,2.655,2.781,2.843,2.594,1.947,2.295,2.569,2.703,2.579,3.171,2.533,2.828,2.405,2.894,2.819,2.908,4.051,2.293,2.964,2.62786,3.047,2.552,2.654,2.136,3.184,2.776,2.69,2.818,2.425,2.313,2.81,2.101,2.576,3.058,2.731,2.647,2.734,2.803,2.355,1.853,2.255,2.51,2.598,2.531,2.969,2.485,2.867,2.332,3.006,2.809,3.118,3.809,2.615,3.147,2.61177,7636.1,505.6,19354.6,76006.7,8953.1,4187.2,5393.2,2362.8,1392.9,1679.7,23872.4,4328.5,1753.6,1007.8,572.5,4844,7.5,481.9,6040.6,564,17258.8,76468.6,8928.5,4264.9,5312.1,2096.2,4309.4,1893.4,562,4807.1,17.4,543,0,830.4,0,0,0,0,0,219.8,771.5,415.4,421.7,431.9,851,1337821,1318390,1318485.4167,294176.980526,291991.705837,586168.686363,238967.114476,238015.615856,476982.730333,66285,805644.686363,1147887.4167,1132494.4167,1129142,1844781,0.734902,1.013389,70,67,137,1820407.83055,1820407.83055
adhd478666,956,614,1960,1621,798,3377,4927,4010,1190,5858,2803,3193,1886,3099,699,1227,1919,693,1567,1524,3994,1393,4610,4187,952,6041,7775,6171,3815,3528,288,548,439,3031,90692.7,805,669,1659,1970,508,3033,5479,3769,1108,6490,3362,3223,1978,3774,618,1528,1507,879,1797,1850,4025,1229,4690,4135,655,7033,7442,6201,4044,3635,350,503,327,2429,92704.6,2.834,2.629,2.935,2.015,3.653,2.635,2.726,2.725,2.307,2.282,2.802,2.136,2.45,3.01,3.404,2.589,2.839,2.976,2.674,1.962,2.288,2.524,2.789,2.583,2.896,2.622,2.912,2.431,2.915,2.764,2.816,3.669,2.14,2.843,2.64166,2.597,2.588,2.627,2.075,3.694,2.805,2.575,2.715,2.582,2.24,2.708,2.139,2.524,3.046,2.962,2.629,2.689,2.854,2.688,1.972,2.213,2.509,2.712,2.567,2.921,2.505,2.867,2.398,3.008,2.771,2.642,3.594,2.698,3.174,2.60787,6227.7,378.7,13729.4,58857.6,8806.4,4180.3,5245.2,2002.2,568.6,1908.5,20842.5,3969.3,1409.3,786.4,613.8,3977.6,21.3,643.5,4596.4,234.6,12343.7,60093.6,8067.8,4075.1,5117.8,1924.9,4145,1738.1,608.3,4023.6,15.9,623.8,0,552.8,0,0,0,0,0,142.9,944.1,552.6,866.6,711.4,902.8,1224700,1209352,1209731.49989,273185.786109,276691.040457,549876.826566,225702.13818,227558.535145,453260.673325,61475,731333.826566,1079254.49989,1067113.49989,1064125,1693590,0.73882,1.021685,53,49,102,1657644.26362,1657644.26362
adhd857353,1079,684,1899,1274,560,3226,3906,3802,849,4381,2512,2659,1988,2977,643,1269,1501,734,1312,1254,3849,1057,4701,3301,906,5871,6789,4841,3592,3407,189,423,392,2245,80065.7,791,554,1707,1521,463,2986,4820,3558,924,4705,2819,2475,1882,3393,638,1408,1409,855,1570,1239,3809,1096,4928,3699,533,5478,6979,4606,3363,3046,270,405,318,2060,80305.1,2.541,2.988,2.59,1.956,3.054,2.708,2.566,2.761,2.389,2.294,2.796,2.279,2.502,2.86,2.748,2.462,2.699,2.986,2.807,1.783,2.345,2.302,2.739,2.474,2.81,2.515,2.802,2.402,2.929,2.782,2.892,3.59,2.195,3.019,2.60418,2.802,2.656,2.605,2.031,2.985,2.787,2.613,2.801,2.23,2.338,2.57,2.15,2.512,2.99,2.767,2.608,2.668,2.896,2.616,1.738,2.241,2.311,2.703,2.551,2.915,2.423,2.772,2.442,2.855,2.736,2.702,3.415,2.44,3.026,2.58673,5550.3,183,15198.9,55387.9,7328.2,3592.1,4702.1,1833.7,666.2,1703.2,18850.1,3512.5,1393.7,737.3,509,3798.6,20,221.5,6971.6,240.8,13690.5,56596.5,7302.5,3775.7,4951.9,1870.6,3679.6,1657.6,513.9,3603.9,21.2,483.4,0,352.4,0,0,0,0,0,111,975.9,610,425.5,488.2,851.1,1067975,1051482,1051876.05437,235592.557296,237018.019154,472610.57645,191464.09857,191388.379353,382852.477922,55549,641021.57645,926821.054373,913416.054373,910555,1449302,0.763398,1.035974,35,28,63,1398975.16649,1398975.16649
adhd372466,936,674,2135,1753,480,3208,4796,3463,954,5665,2993,3366,1749,3156,686,1380,1740,759,1362,2022,3632,942,4589,3800,825,6245,7111,5611,3763,4560,278,472,400,2796,88288.3,935,680,1813,1950,398,3165,5819,3421,1074,6041,3147,3576,2088,3585,562,1562,1546,848,1666,2072,3591,1326,4321,3778,635,6348,7350,5169,3823,3650,340,457,359,2397,89483,2.672,2.631,2.746,2.087,3.78,2.787,2.676,2.829,2.615,2.373,2.603,2.208,2.7,3.072,2.892,2.772,2.742,2.784,2.708,1.894,2.394,2.652,2.865,2.626,2.997,2.58,2.953,2.485,2.956,2.706,2.725,3.796,2.612,2.982,2.66958,2.769,2.441,2.714,2.159,3.267,2.741,2.731,2.948,2.497,2.307,2.557,2.167,2.579,3.125,2.767,2.744,2.692,2.748,2.596,1.936,2.44,2.7,2.748,2.614,2.807,2.489,2.836,2.422,3.028,2.757,2.538,4.173,2.724,3.08,2.64108,5420.1,249.3,15148.2,56023.5,7568.2,3551.5,5154.9,1940.4,543.1,1156,19839.4,3914.3,1836.5,609.5,576.1,3987.9,57.2,372.5,3184.4,197.4,14549.8,56250,7705.7,3623.3,5245.5,1890.2,4056.8,2005.2,623.2,3966.1,27.3,311,0,869.2,0,0,0,0,0,79.9,877.7,614.4,753.9,634.9,822.9,1192132,1180473,1180629.49334,267868.468269,268979.163214,536847.631483,220980.285977,221402.575879,442382.861856,59168,709126.631483,1050433.49334,1041037.49334,1038230,1568923,0.774152,1.018834,58,54,112,1539920.59271,1539920.59271
adhd183668,913,692,2420,1654,633,3403,4108,3630,1107,5902,2958,3427,2072,3153,736,1258,1453,666,1216,1717,4061,1190,5902,3572,917,5324,7209,4772,4282,4069,276,521,467,3014,88683,893,690,2396,1613,375,3074,6175,3729,805,5333,3239,3091,1982,3794,507,1312,1531,882,1704,1613,3722,1254,4951,3808,573,5822,7178,5896,3709,3142,273,412,332,2228,88038.2,2.633,2.758,2.666,2.092,3.003,2.687,2.646,2.902,2.452,2.232,2.694,2.041,2.596,2.897,2.763,2.473,2.759,2.991,2.765,1.74,2.246,2.511,2.662,2.419,2.854,2.526,2.847,2.394,2.881,2.631,2.623,3.268,2.467,2.745,2.57545,2.679,2.636,2.636,2.025,3.006,2.73,2.61,2.648,2.58,2.223,2.584,2.205,2.706,2.905,2.864,2.503,2.775,2.755,2.596,1.989,2.196,2.387,2.658,2.491,2.693,2.466,2.758,2.315,2.952,2.744,2.715,3.11,2.429,3.022,2.56041,5469.2,355.5,14727.2,54986.1,7643.5,4580.7,5306.9,2146.5,541.5,1765.3,20452.1,3534.3,1436.1,884.8,630,4210.1,20.3,507.8,6043.2,168.4,14078.7,57606.3,7570.7,4487.2,5367.6,2023.7,3471.1,1580.1,671,3930.2,8.8,554.2,0,424.2,0,0,0,0,0,121.6,1075.9,616.3,679.1,559.3,985.2,1143796,1127836,1128337.03939,254188.414072,252520.322616,506708.736688,210826.671518,210104.63118,420931.302698,59918,679470.736688,1002396.03939,989535.039386,986954,1526298,0.766659,1.023041,47,58,105,1491922.69492,1491922.69492
adhd450876,984,543,2025,1471,429,3125,4579,3405,978,5260,2803,3234,1644,2988,659,1446,1860,660,1380,1677,3819,1057,4589,3811,776,5257,6575,5959,3637,3966,236,431,411,2554,84148.3,761,724,1896,1632,345,3008,5044,3308,955,5261,2732,3372,1855,3720,560,1445,1288,830,1763,1648,4166,1177,4609,4146,714,5666,5244,5714,3846,3460,293,512,434,2733,84786.2,2.543,2.934,2.844,1.95,3.197,2.696,2.665,2.651,2.65,2.232,2.797,2.071,2.66,3.036,2.561,2.33,2.763,2.721,2.814,1.63,2.263,2.361,2.632,2.554,2.991,2.729,2.934,2.376,2.884,2.722,3.167,3.562,2.375,2.817,2.59698,2.935,2.408,2.787,1.88,3.546,2.682,2.695,2.725,2.283,2.229,2.635,1.853,2.654,3.081,2.438,2.625,2.825,2.777,2.709,1.639,2.226,2.409,2.653,2.56,3.14,2.524,3.024,2.312,2.984,2.694,3.192,3.908,2.31,2.725,2.57444,6770.6,258.9,15090.2,57453.5,8055.8,3666.8,5655.7,2109.9,567.4,856,20719,3832.3,1528.6,738.8,626.8,4257.4,44.6,564.6,4824.2,257.8,14829.7,59928.5,8057.9,3892.1,5374.7,1961.8,4064.1,1893.4,637.3,4466.3,25.2,520.5,0,753.1,0,0,0,0,0,132.8,1244.3,718.7,684,623.1,924.1,1156814,1141966,1142538.50424,251368.432708,249707.542309,501075.975017,216640.907644,215663.621579,432304.529223,61788,680952.975017,1010459.50424,997638.504239,994508,1541266,0.783003,1.043223,54,55,109,1477407.42902,1477407.42902
adhd732662,1148,649,1614,1468,414,3259,3919,3245,1032,5321,2552,3064,1852,3187,766,912,2105,733,1547,1574,2769,1047,3948,3179,795,7455,6709,3313,3763,2334,240,470,464,2692,79491.8,875,698,2144,1342,364,3060,4223,3018,754,5564,3101,2981,2098,3347,748,1203,1909,862,1600,1553,2662,974,3904,3005,667,6242,7120,3263,3548,2423,256,488,333,2186,78505.2,2.721,2.808,2.735,2.005,3.196,2.611,2.58,2.879,2.52,2.244,2.794,2.087,2.733,3.008,2.546,2.211,2.817,2.911,2.714,1.858,2.601,2.543,2.254,2.535,3.017,2.679,2.907,2.313,3.015,2.797,3.032,3.847,2.56,2.818,2.62264,2.746,2.542,2.748,2.007,3.436,2.849,2.6,2.846,2.697,2.225,2.461,2.261,2.623,2.959,2.601,2.407,2.825,2.775,2.634,1.861,2.636,2.576,2.268,2.543,2.898,2.567,2.86,2.29,2.965,2.786,3.02,3.782,2.446,2.99,2.60666,3975.5,195.4,15125.5,57188.2,7505.5,3682.1,4890.7,2036.1,502.5,1112.2,20344.9,4063.7,1518.8,559.8,530,4014.7,49.7,339.5,4761.9,240.3,13911.4,56681.9,7273.6,3919.3,4555.6,2135.6,4220.2,1745,513.7,3998.6,27.5,333.8,0,532.5,0,0,0,0,0,109.9,861.2,489.5,609.6,542.8,787.6,1049835,1038150,1038298.46321,231651.356023,227262.218193,458913.574216,190341.904411,188616.984588,378958.888999,57786,630898.574216,907147.463214,897571.463214,895455,1424367,0.778016,1.055576,55,34,89,1349374.56868,1349374.56868
adhd180211,813,597,2563,1469,417,2545,3703,3381,1021,4477,2778,2845,1959,3157,589,1162,1530,690,1040,1608,3692,1050,4303,3738,936,5404,6782,5256,3244,3438,263,365,391,1800,79001.5,802,780,2312,1677,304,2341,4642,2892,923,4771,2648,3361,1928,3147,621,1144,1282,792,1440,1711,3649,1034,4203,4304,661,5651,5634,5218,3321,2974,296,457,307,1972,79188.2,2.579,2.331,2.731,1.944,3.092,2.595,2.582,2.731,2.53,2.082,2.66,2.049,2.322,2.949,3.039,2.508,2.694,3.08,2.495,1.784,2.176,2.368,2.606,2.446,2.864,2.514,2.858,2.293,2.713,2.697,2.491,3.68,2.329,3.199,2.53193,2.647,2.348,2.554,1.923,3.473,2.715,2.579,2.858,2.703,2.218,2.656,2.003,2.4,2.986,2.86,2.506,2.516,2.855,2.624,1.718,2.099,2.388,2.585,2.382,3.066,2.513,2.838,2.274,2.716,2.626,2.887,3.728,2.185,3.147,2.51865,9291.3,384.6,11642.8,49009.6,6482.3,3117.5,3233.8,1445,990.2,1905.3,15966.1,3827.5,1454.9,1106.2,395.9,3521.1,9.9,736.3,6807.3,401.6,10491.6,48362.6,6338.3,3087.4,3233.5,1373.3,3695.6,1582.1,489,3341.6,17.7,760.2,0,475,0,0,0,0,0,106.9,732.6,405.6,425.6,444.2,704.8,973149,950985,950933.767087,230570.096557,228399.913531,458970.010088,163331.283469,161662.47353,324993.756999,48210,605036.010088,852022.767087,833827.767087,832132,1380922,0.739425,1.049262,62,63,125,1316088.21023,1316088.21023
adhd525287,1336,709,2644,1912,404,3937,4609,3974,976,6160,2766,3823,2094,3935,882,1581,1602,778,1798,1872,5305,1381,6104,3798,1029,8844,8572,6379,4292,4997,281,467,538,2499,102272,1321,1091,2970,1972,315,3716,7674,4092,906,6108,2939,4270,1956,4123,832,2108,1286,1049,1586,1959,4442,1693,5609,3833,882,7611,8550,6543,4235,3488,323,501,397,2437,102808,2.794,2.743,2.736,1.928,3.508,2.651,2.529,2.636,2.576,1.989,2.628,2.028,2.496,2.86,2.586,2.413,3.048,2.568,2.588,1.778,2.127,2.551,2.636,2.423,2.849,2.527,2.868,2.179,2.759,2.684,2.615,3.277,2.165,3.098,2.51808,2.741,2.546,2.514,2.017,3.257,2.667,2.336,2.678,2.306,2.182,2.699,2.125,2.52,2.748,2.409,2.409,2.928,2.767,2.634,1.662,2.063,2.508,2.622,2.478,2.741,2.387,2.686,2.132,2.756,2.593,2.361,3.392,2.078,3.021,2.46351,7137.9,383,15755.7,57716.5,9356.6,5281.8,6890.5,2439.3,919.4,2067.3,24003.5,4015.1,1672.8,1180.7,731.6,4671.7,43.8,634,7323.4,387.6,14495.2,59835.1,9765.1,5250.4,7071,2434.1,4418.6,2014.3,807.6,5121.7,36.5,615.6,0,2121.4,0,0,0,0,0,173.3,1004.3,559.2,437.9,403.7,811.9,1277044,1256726,1255877.5045,285572.152498,281674.884171,567247.036669,235134.400842,231757.066987,466891.467829,73590,759430.036669,1127206.5045,1110984.5045,1108475,1758471,0.730127,1.005375,127,144,271,1749070.07974,1749070.07974
adhd778427,1316,616,2643,1775,739,3606,5211,4181,1220,6412,3530,2687,2078,4095,965,1718,1713,898,1502,1347,4872,1359,5447,4359,872,7310,9298,5909,4794,4928,258,515,501,3044,101667,1104,1008,2432,1911,517,3780,6427,3963,1103,5641,3949,3221,2226,4134,766,1784,1962,1025,2081,1557,4359,1331,5594,4960,933,7201,7800,6432,4374,4443,298,518,378,2617,101815,2.823,2.616,2.654,1.983,3.127,2.757,2.653,2.859,2.296,2.316,2.59,2.12,2.588,3.046,2.976,2.494,2.828,2.884,2.702,1.863,2.355,2.451,2.776,2.502,2.802,2.424,2.867,2.494,2.983,2.79,2.913,3.517,2.353,2.859,2.63164,2.722,2.501,2.709,2.06,3.42,2.722,2.627,2.853,2.286,2.343,2.597,2.051,2.536,2.998,2.876,2.514,2.761,2.89,2.646,1.863,2.322,2.4,2.697,2.58,2.842,2.458,2.817,2.414,2.919,2.729,2.733,3.771,2.815,3.02,2.60856,6001.8,255.4,15345.9,62139.7,9500.2,5207.8,6551.6,2615.7,981.5,1880.2,22860.2,4169.6,1613,1081.4,721.5,4989.5,32.5,627.1,4938.6,139.3,14372.6,64448.1,9523.3,5226.9,6484.3,2576.4,4521.1,1903.1,693,4711.5,10.5,530,0,907.9,0,0,0,0,0,167.7,1046.7,723.8,865.9,872.7,1051.6,1389477,1373167,1373316.17794,297037.444913,296265.843934,593303.288847,275535.212823,275525.676266,551060.889089,72337,793401.288847,1232262.17794,1219856.17794,1216424,1851967,0.778863,1.038109,45,62,107,1783980.42527,1783980.42527
adhd067603,1215,569,1962,1220,455,2938,4272,2976,973,3751,2371,2298,1819,2799,618,1301,1520,663,1367,1206,3310,1044,4386,3286,643,5328,6160,4648,3391,3692,227,417,354,1973,75149.4,897,602,2037,1318,402,2480,5045,2892,785,4180,2182,2684,1759,2964,586,1451,1138,831,1339,1443,3553,1193,4463,3185,586,5295,6214,4707,3624,3218,259,437,291,2308,76294.7,2.758,2.728,2.685,1.901,3.599,2.861,2.676,3.025,2.22,2.344,2.839,2.008,2.529,3.038,3.378,2.537,2.663,2.674,2.596,1.766,2.251,2.371,2.771,2.442,2.944,2.58,2.948,2.393,3.138,2.815,3.111,3.727,2.72,3.158,2.66596,2.76,2.359,2.707,2.059,3.448,2.886,2.712,2.96,2.168,2.369,2.837,2.137,2.514,2.931,3.11,2.509,2.847,2.871,2.649,1.913,2.229,2.391,2.663,2.607,2.866,2.429,2.862,2.389,2.971,2.702,3.263,3.991,2.522,2.874,2.62462,4168,250.8,13120.7,58953.5,7271.7,3625,4852.5,1924.8,662.2,1240.5,18521.9,4016.2,1520.5,769.5,503.8,3889,19.5,360.5,6428.5,297.9,12499.5,58111.4,7082.9,3610.8,5016.2,1795.6,4109.5,1586.3,513.3,3854,16.3,520.3,0,687.6,0,0,0,0,0,123.9,1044,555.1,487.9,462.9,849.5,1053055,1038785,1038861.0005,226900.172107,227910.094594,454810.266701,192352.866668,193339.867132,385692.733801,56538,628378.266701,910312.000501,898681.000501,896863,1436284,0.76813,1.047669,34,37,71,1370933.62377,1370933.62377
adhd973709,929,519,1849,1719,365,2624,3930,2601,1056,5385,2503,2972,1535,3008,597,1319,1442,625,1340,1990,3579,998,4410,3339,760,5406,7040,4553,4100,3020,272,426,475,2447,79041.6,833,549,1778,1783,341,2567,4352,2440,929,5112,2349,3155,1777,2938,519,1405,1298,672,1438,1913,3506,1074,4435,3521,556,4977,6559,4903,3765,2815,265,387,323,2026,77254.7,2.544,2.396,2.547,2.016,3.216,2.689,2.54,2.734,2.267,2.115,2.571,2.013,2.442,2.727,2.965,2.466,2.68,2.736,2.594,1.677,2.157,2.398,2.55,2.524,2.943,2.403,2.802,2.285,2.689,2.65,3.082,3.375,2.41,2.634,2.47926,2.65,2.385,2.593,2,3.576,2.708,2.5,2.676,2.521,2.114,2.707,2.02,2.544,2.951,2.948,2.533,2.634,2.72,2.484,1.687,2.154,2.442,2.571,2.524,2.843,2.423,2.808,2.271,2.794,2.598,2.887,3.525,2.47,2.976,2.50453,8848.7,527,12413,49383.8,6644.4,3205.2,4789.2,1729.2,976.7,2483.7,19134.5,3562.6,1209.5,716.6,447.2,4223.1,40.3,544.9,6513.5,414.6,12478.3,48843,6538.1,3085.6,4714.2,1706.7,3741.8,1448,462.4,3791.3,32.1,445.5,0,476.9,0,0,0,0,0,153.9,912.9,491.4,430.6,566.1,807.5,1013018,991762,991719.873682,222000.781985,219092.076382,441092.858367,188992.334771,186120.680544,375113.015316,52745,592707.858367,887644.873682,870567.873682,868907,1428198,0.740516,1.044013,62,44,106,1367989.18531,1367989.18531
